Instance,NN_Cost,NN_Allocated,NN_Time_ms,Benchmark,Gap_Percent
100_5_v2.txt,438.23,100,38.9,149.84,192.47
100_10_v2.txt,432.25,100,32.4,107.13,303.48
100_15_v2.txt,414.05,100,49.0,72.72,469.38
200_5_v2.txt,523.01,200,66.5,286.89,82.30
200_10_v2.txt,570.30,199,130.1,219.92,159.32
200_15_v2.txt,443.02,200,191.8,99.29,346.19
300_5_v2.txt,556.39,300,151.2,433.90,28.23
300_10_v2.txt,446.64,300,296.7,282.03,58.37
300_15_v2.txt,497.13,297,435.1,181.64,173.69
400_5_v2.txt,689.63,400,264.3,572.80,20.40
400_10_v2.txt,409.66,393,518.2,383.63,6.78
400_15_v2.txt,532.85,397,791.8,262.99,102.61
500_5_v2.txt,575.13,499,413.6,681.95,-15.66
500_10_v2.txt,696.04,500,851.4,493.80,40.96
500_15_v2.txt,643.25,498,1240.2,340.60,88.86
600_5_v2.txt,643.94,600,609.0,823.88,-21.84
600_10_v2.txt,442.29,591,1141.4,563.10,-21.45
600_15_v2.txt,582.57,600,1900.9,389.79,49.46
700_5_v2.txt,541.63,695,819.8,960.26,-43.60
700_10_v2.txt,431.71,694,1665.8,649.73,-33.56
700_15_v2.txt,551.62,696,2632.4,454.39,21.40
